id,university,typical,subject,start,end,term,first_result,interview_date,final_result
49,서울대학교,일반전형,조경지역시스템공학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
50,서울대학교,일반전형,바이오시스템소재학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
51,서울대학교,일반전형,교육학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
52,서울대학교,일반전형,국어교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
53,서울대학교,일반전형,영어교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
54,서울대학교,일반전형,독어교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
55,서울대학교,일반전형,불어교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
56,서울대학교,일반전형,사회교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
57,서울대학교,일반전형,역사교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
58,서울대학교,일반전형,지리교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
59,서울대학교,일반전형,윤리교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
60,서울대학교,일반전형,수학교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
61,서울대학교,일반전형,물리교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
62,서울대학교,일반전형,화학교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
63,서울대학교,일반전형,생물교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
64,서울대학교,일반전형,지구과학교육과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
65,서울대학교,일반전형,소비자아동학부,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
66,서울대학교,일반전형,식품영양학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
67,서울대학교,일반전형,의류학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
68,서울대학교,일반전형,수의예과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 24일,12월 14일
69,서울대학교,일반전형,의예과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 24일,12월 14일
70,서울대학교,일반전형,자율전공,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 23일,12월 14일
71,서울대학교,일반전형,치의학대학원,9월 10일,9월 12일,9월 10일부터 9월 12일까지,11월 16일,11월 24일,12월 14일
72,연세대학교,학생부종합전형,국어국문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
73,연세대학교,학생부종합전형,중어중문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
74,연세대학교,학생부종합전형,영어영문학과,9월 10일,9월 12일,9월 10일부터 9월 12일까지,10월 6일,10월 20일,11월 16일
